HOTEL NAME,URL
Blue Heron Beach Resort 13428 Blue Heron Beach Dr Orlando,"https://reservationscenter.com/hotel/blue-heron-beach-resort?id=b41ce02e-69a3-4a28-8bf8-2ab48d0d4135&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
Caribe Royale Orlando 8101 World Center Drive Orlando,"https://reservationscenter.com/hotel/caribe-royale-orlando?id=bf7bdcbc-83e5-4fba-b3a9-bc0f97f222f5&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
Fantasy World Villas Resort 5005 Kyng's Heath Road Kissimmee,"https://reservationscenter.com/hotel/fantasy-world-villas-resort?id=7547d917-54f9-4836-8d3a-1848882c95ab&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
Luxe Hotel Sunset Blvd 11461 Sunset Blvd Los Angeles,"https://reservationscenter.com/hotel/luxe-hotel-sunset-blvd?id=4a312e50-b40f-4a3b-b04a-c15b32897c3a&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
The Gershwin Hotel 7 East 27th Street New York,"https://reservationscenter.com/hotel/the-gershwin-hotel?id=4e6260fb-923d-4a8f-ac59-9b8bbd7817bb&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
Americana Inn 69 West 38th Street New York,"https://reservationscenter.com/hotel/americana-inn?id=6a8c9f13-9737-4e5d-984e-460d5e7049f1&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
Belvedere Hotel 319 West 48th Street New York,"https://reservationscenter.com/hotel/belvedere-hotel?id=66ab1fac-fbfb-4460-afec-ecc86884c36c&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
Best Western Adams Inn 29 Hancock Street Quincy,"https://reservationscenter.com/hotel/best-western-adams-inn?id=2e984b51-46b0-4ef2-a53b-8a0c162d5fb0&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
Plus Americania 121 7th Street San Francisco,"https://reservationscenter.com/hotel/plus-americania?id=2968f9c4-0421-45ef-b739-92a3ed720df9&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
Comfort Inn & Suites Logan International Airport 85 American Legion Highway Revere,"https://reservationscenter.com/hotel/comfort-inn-suites-logan-international-airport?id=e9fb59b5-df45-4295-9158-a33418e2e6ec&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
Executive Hotel Vintage Court 650 Bush Street San Francisco,"https://reservationscenter.com/hotel/executive-hotel-vintage-court?id=0d6f111e-0cb8-4923-917a-853f64626cac&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
"Hotel Kabuki, a Joie de Vivre Boutique Hotel 1625 Post Street San Francisco","https://reservationscenter.com/hotel/hotel-kabuki,-a-joie-de-vivre-boutique-hotel?id=60f1786c-602e-4379-b180-41b3ddca0361&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
Hotel Nikko San Francisco 222 Mason Street San Francisco,"https://reservationscenter.com/hotel/hotel-nikko-san-francisco?id=bde05ff1-90a6-4345-a6be-b358e94120d8&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
Hotel Whitcomb 1231 Market Street San Francisco,"https://reservationscenter.com/hotel/hotel-whitcomb?id=6fc03609-920f-4553-9794-680b21d1145e&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
Hotel Belleclaire - New York 2175 Broadway St New York,"https://reservationscenter.com/hotel/hotel-belleclaire---new-york?id=11058125-91b5-404a-9b70-0663d39281b0&start=11/03/2022&end=11/04/2022&room=\[[18,3]]&modal"
